OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,COMPLEX_NAME,COMPLEX_INCNUM,SHAPE_Length,SHAPE_Area
24945,1910,CA,CCO,VNC,COYOTE CREEK,0,1910/07/01 00:00:00+00,,Unknown/Unidentified,,,11226.824,,Suppression (Wildfire),0,,,34885.62925,66930696.29
34717,1910,CA,USF,MDF,GLASS MOUNTAIN,0,1910/07/13 00:00:00+00,,Unknown/Unidentified,,,146967.56,,Suppression (Wildfire),2,,,208458.8837,1056180026
26383,1910,CA,USF,MDF,SOUP,0,1910/07/21 00:00:00+00,,Unknown/Unidentified,,,19.39624,,Suppression (Wildfire),1,,,1453.976058,139226.9681
24028,1910,CA,USF,SRF,BLUFF CREEK,0,1910/07/24 00:00:00+00,,Campfire,,,298.71655,,Suppression (Wildfire),200013,,,5207.248733,2152285.203
26382,1910,CA,USF,MDF,WILLOWRANCH,0,1910/08/02 00:00:00+00,,Miscellaneous,,,21.086514,,Suppression (Wildfire),6,,,1458.520188,153870.8342
23980,1910,CA,USF,SRF,BULL CREEK,0,1910/08/05 00:00:00+00,,Campfire,,,56.897217,,Suppression (Wildfire),200015,,,2844.066729,406773.2818
24029,1910,CA,USF,SRF,CRAWFORD CREEK 2,0,1910/08/07 00:00:00+00,,Arson,,,497.88507,,Suppression (Wildfire),200016,,,6709.343273,3573081.666
24030,1910,CA,USF,SRF,MILL CREEK,0,1910/08/15 00:00:00+00,,Campfire,,,398.29315,,Suppression (Wildfire),200017,,,5988.423133,2846480.897
26384,1910,CA,USF,MDF,HAT MT.,0,1910/08/26 00:00:00+00,,Miscellaneous,,,347.37073,,Suppression (Wildfire),9,,,8817.508974,2480159.163
24031,1910,CA,USF,SRF,HOPKINS CREEK,0,1910/08/29 00:00:00+00,,Miscellaneous,,,497.87332,,Suppression (Wildfire),200018,,,6700.614646,3563794.091
24032,1910,CA,USF,SRF,ULLATHORNE PEAK,0,1910/09/01 00:00:00+00,,Unknown/Unidentified,,,159.32887,,Suppression (Wildfire),200019,,,3793.648246,1142345.44
24035,1910,CA,USF,SRF,BEE LAKE,0,1910/09/08 00:00:00+00,,Unknown/Unidentified,,,298.71906,,Suppression (Wildfire),200021,,,5195.893328,2142908.734
24036,1910,CA,USF,SRF,RED CAP,0,1910/09/10 00:00:00+00,,Debris,,,497.88144,,Suppression (Wildfire),200022,,,6699.580888,3562692.331
24037,1910,CA,USF,SRF,MILL CREEK,0,1910/09/12 00:00:00+00,,Unknown/Unidentified,,,597.46112,,Suppression (Wildfire),200023,,,7335.444402,4271064.703
23979,1910,CA,USF,SRF,ULLATHORNE 2,0,1910/09/24 00:00:00+00,,Campfire,,,79.661179,,Suppression (Wildfire),200024,,,2683.878888,571753.9042
25879,1910,CA,CCO,LAC, ,0,1910/10/24 00:00:00+00,,Unknown/Unidentified,,,81.205467,,Suppression (Wildfire),0,,,2835.348936,481204.0841
25427,1911,CA,USF,MDF,NONAME,0,1911/07/07 00:00:00+00,,Miscellaneous,,,131.76152,,Suppression (Wildfire),26,,,4439.053365,957172.911
25429,1911,CA,USF,SRF,ULLATHORNE 1,0,1911/07/12 00:00:00+00,,Unknown/Unidentified,,,14.936574,,Suppression (Wildfire),200000,,,1161.543083,107091.2361
25430,1911,CA,USF,SRF,ULLATHORNE CREEK 2,0,1911/07/13 00:00:00+00,,Unknown/Unidentified,,,69.70311,,Suppression (Wildfire),200002,,,2510.230064,500162.1129
25980,1911,CA,USF,SRF,ORCUTT FLAT,0,1911/07/18 00:00:00+00,,Arson,,,94.598785,,Suppression (Wildfire),200003,,,2925.387128,679282.8581
25981,1911,CA,USF,SRF,PRIGMORE FLAT,0,1911/07/19 00:00:00+00,,Arson,,,14.93665,,Suppression (Wildfire),200004,,,1161.889118,107154.867
25409,1911,CA,USF,SRF, ,0,1911/07/20 00:00:00+00,,Unknown/Unidentified,,,14.936545,,Suppression (Wildfire),301000,,,1155.17254,105919.7652
25403,1911,CA,USF,SRF,BOISE CREEK,0,1911/07/25 00:00:00+00,,Unknown/Unidentified,,,19.916212,,Suppression (Wildfire),200005,,,1341.432942,142830.5885
25404,1911,CA,USF,SRF,WILDER CREEK,0,1911/07/31 00:00:00+00,,Arson,,,15.932304,,Suppression (Wildfire),200006,,,1201.645109,114613.4974
25405,1911,CA,USF,SRF,CHEENITCH GULCH,0,1911/08/03 00:00:00+00,,Unknown/Unidentified,,,11.949064,,Suppression (Wildfire),200007,,,1039.279054,85733.03341
25406,1911,CA,USF,SRF,PEARCH CREEK,0,1911/08/06 00:00:00+00,,Arson,,,398.31741,,Suppression (Wildfire),200008,,,6001.319913,2858756.481
24279,1911,CA,USF,SRF, ,0,1911/08/15 00:00:00+00,,Unknown/Unidentified,,,44.809689,,Suppression (Wildfire),400850,,,1980.025387,311189.3087
25407,1911,CA,USF,SRF,RED CAP CREEK,0,1911/08/15 00:00:00+00,,Campfire,,,9.9578962,,Suppression (Wildfire),200010,,,947.8530641,71312.44941
24275,1911,CA,USF,SRF, ,0,1911/08/17 00:00:00+00,,Unknown/Unidentified,,,9.9574633,,Suppression (Wildfire),301002,,,947.1034441,71199.54282
25428,1911,CA,USF,SRF,N/A,0,1911/08/22 00:00:00+00,,Unknown/Unidentified,,,258.89587,,Suppression (Wildfire),8,,,4886.83637,1895567.079
25408,1911,CA,USF,SRF,ULLATHORNE CREEK,0,1911/08/26 00:00:00+00,,Arson,,,9.9575357,,Suppression (Wildfire),200011,,,948.67639,71436.42946
23988,1911,CA,USF,SRF,BLUFF CREEK,0,1911/08/30 00:00:00+00,,Arson,,,1372.6959,,Suppression (Wildfire),200012,,,12441.93943,9844649.996
24276,1911,CA,USF,SRF, ,0,1911/09/13 00:00:00+00,,Unknown/Unidentified,,,3.4852862,,Suppression (Wildfire),400769,,,552.0748423,24192.40531
25106,1911,CA,CCO,LAC, ,0,1911/09/26 00:00:00+00,,Unknown/Unidentified,,,105.45993,,Suppression (Wildfire),0,,,3177.242692,624711.8004
24278,1911,CA,USF,SRF, ,0,1911/10/17 00:00:00+00,,Unknown/Unidentified,,,9.9580193,,Suppression (Wildfire),400824,,,935.2343609,69426.30258
24277,1911,CA,USF,SRF, ,0,1911/11/28 00:00:00+00,,Unknown/Unidentified,,,4.4811425,,Suppression (Wildfire),400773,,,625.845335,31089.74648
25327,1912,CA,CCO,VNC,GRAND AVENUE,0,1912/02/01 00:00:00+00,,Unknown/Unidentified,,,197.03648,,Suppression (Wildfire),0,,,4723.925061,1175767.71
23465,1912,CA,USF,SRF, ,0,1912/07/29 00:00:00+00,,Unknown/Unidentified,,,2.489538,,Suppression (Wildfire),400762,,,466.8202665,17297.4661
37484,1912,CA,USF,ANF,DEVIL'S CANYON,0,1912/08/23 00:00:00+00,1912/08/31 00:00:00+00,Unknown/Unidentified," S Imsand,Arroyo, 2N 10W-5,6,7,18,19,Devils Cyn; pos.=#372-AFA 1906-1930 Cum+T *",3000,3297.1047,8,Suppression (Wildfire),0,,,22868.38466,19588845.17
25323,1912,CA,CCO,LAC, ,0,1912/12/22 00:00:00+00,,Unknown/Unidentified,,,84.232529,,Suppression (Wildfire),0,,,2675.32096,500243.1039
23511,1913,CA,USF,SRF,N/A,0,1913/01/31 00:00:00+00,,Unknown/Unidentified,,,4.9782219,,Suppression (Wildfire),11,,,673.5628639,36011.3633
23512,1913,CA,USF,SRF,N/A,0,1913/02/01 00:00:00+00,,Unknown/Unidentified,,,4.978344,,Suppression (Wildfire),12,,,676.5952906,36335.93647
26539,1913,CA,CCO,LAC, ,0,1913/06/04 00:00:00+00,,Unknown/Unidentified,,,185.58693,,Suppression (Wildfire),0,,,4171.135529,1107666.402
26542,1913,CA,CCO,LAC, ,0,1913/06/30 00:00:00+00,,Unknown/Unidentified,,,527.07465,,Suppression (Wildfire),0,,,8438.677916,3149111.596
23518,1913,CA,USF,SRF, ,0,1913/07/07 00:00:00+00,,Unknown/Unidentified,,,2.9873466,,Suppression (Wildfire),400822,,,512.4949141,20847.8923
23517,1913,CA,USF,SRF, ,0,1913/08/03 00:00:00+00,,Unknown/Unidentified,,,5.4769554,,Suppression (Wildfire),400794,,,693.2518668,38147.42592
26535,1913,CA,CCO,LAC, ,0,1913/08/03 00:00:00+00,,Unknown/Unidentified,,,180.26312,,Suppression (Wildfire),0,,,4091.76626,1075020.798
23513,1913,CA,USF,SRF,N/A,0,1913/08/20 00:00:00+00,,Unknown/Unidentified,,,19.912983,,Suppression (Wildfire),13,,,1352.318439,145158.1158
42765,1913,CA,USF,ANF, ,0,1913/09/13 00:00:00+00,,Unknown/Unidentified,,,7016.8428,,Suppression (Wildfire),,,,29675.91484,41686638.22
34956,1913,CA,CCO,VNC,RINCON CREEK,0,1913/10/01 00:00:00+00,,Unknown/Unidentified,,,1759.6904,,Suppression (Wildfire),0,,,16804.03015,10490933.79
23520,1913,CA,USF,SRF, ,0,1913/10/25 00:00:00+00,,Unknown/Unidentified,,,64.724312,,Suppression (Wildfire),400834,,,2387.85149,452582.5731
23514,1913,CA,USF,SRF, ,0,1913/10/27 00:00:00+00,,Miscellaneous,,,7.9664483,,Suppression (Wildfire),301009,,,841.1775941,56164.12687
23519,1913,CA,USF,SRF, ,0,1913/10/27 00:00:00+00,,Unknown/Unidentified,,,278.81555,,Suppression (Wildfire),400830,,,4959.671697,1952489.958
23515,1913,CA,USF,SRF, ,0,1913/10/30 00:00:00+00,,Unknown/Unidentified,,,4.9787679,,Suppression (Wildfire),301010,,,667.9610984,35414.98415
23516,1913,CA,USF,SRF, ,0,1913/10/30 00:00:00+00,,Unknown/Unidentified,,,6.9705768,,Suppression (Wildfire),400747,,,779.4233306,48220.30464
23239,1914,CA,USF,SRF,N/A,0,1914/03/20 00:00:00+00,,Campfire,,,29.869841,,Suppression (Wildfire),14,,,1656.56352,217821.0553
23240,1914,CA,USF,SRF,N/A,0,1914/07/04 00:00:00+00,,Campfire,,,4.9783416,,Suppression (Wildfire),19,,,676.442635,36319.95407
23242,1914,CA,USF,SRF, ,0,1914/07/22 00:00:00+00,,Miscellaneous,,,9.957799,,Suppression (Wildfire),301014,,,943.4116679,70645.70664
23393,1914,CA,USF,SRF, ,0,1914/08/07 00:00:00+00,,Unknown/Unidentified,,,2.9873707,,Suppression (Wildfire),400781,,,511.7444514,20786.8815
23237,1914,CA,USF,MDF,MT.BIDWELL1,0,1914/08/10 00:00:00+00,,Miscellaneous,,,19.085581,,Suppression (Wildfire),38,,,1414.266851,139656.1249
23236,1914,CA,USF,MDF,MT.BIDWELL2,0,1914/08/14 00:00:00+00,,Miscellaneous,,,35.081635,,Suppression (Wildfire),39,,,2036.023969,256733.8367
23244,1914,CA,USF,SRF, ,0,1914/08/14 00:00:00+00,,Unknown/Unidentified,,,14.936649,,Suppression (Wildfire),400734,,,1141.779244,103477.8537
23394,1914,CA,USF,SRF, ,0,1914/08/21 00:00:00+00,,Unknown/Unidentified,,,6.9707365,,Suppression (Wildfire),400859,,,780.3809427,48338.86463
23241,1914,CA,USF,SRF,IKES CREEK,0,1914/08/25 00:00:00+00,,Playing with Fire,,,3.983144,,Suppression (Wildfire),200030,,,600.6590349,28637.77458
23235,1914,CA,USF,MDF,JUNIPER SP.,0,1914/09/26 00:00:00+00,,Unknown/Unidentified,,,12.507941,,Suppression (Wildfire),49,,,1101.258001,91550.34039
23238,1914,CA,USF,MDF,DRY CR. BASI,0,1914/09/28 00:00:00+00,,Miscellaneous,,,1.1222517,,Suppression (Wildfire),48,,,403.7084408,8104.054821
23243,1914,CA,USF,SRF, ,0,1914/11/10 00:00:00+00,,Unknown/Unidentified,,,24.894026,,Suppression (Wildfire),301016,,,1488.93374,175968.1302
23245,1914,CA,USF,SRF, ,0,1914/11/22 00:00:00+00,,Unknown/Unidentified,,,8.9621649,,Suppression (Wildfire),400771,,,885.0730787,62178.66619
23246,1914,CA,USF,SRF, ,0,1914/11/22 00:00:00+00,,Unknown/Unidentified,,,6.9705911,,Suppression (Wildfire),400772,,,780.5620663,48361.30296
23392,1914,CA,USF,SRF, ,0,1914/11/22 00:00:00+00,,Unknown/Unidentified,,,2.987355,,Suppression (Wildfire),400774,,,510.9943771,20725.99341
25422,1915,CA,CCO,LAC,CASTAIC,0,1915/06/23 00:00:00+00,,Unknown/Unidentified,,,413.9808,,Suppression (Wildfire),0,,,10288.36414,2474940.744
37501,1915,CA,USF,ANF,CASTAIC,0,1915/06/23 00:00:00+00,,Unknown/Unidentified," S Imsand,Saugus, 6N 17W-12+6N 16W-7, ADDN to #570-AFA 1911-1920 Trans map 1:26*",160,118.85069,,Suppression (Wildfire),0,,,3444.868441,710330.0624
26716,1915,CA,USF,SRF, ,0,1915/08/08 00:00:00+00,,Unknown/Unidentified,,,16.430471,,Suppression (Wildfire),301021,,,1213.402058,116867.2809
26717,1915,CA,USF,SRF, ,0,1915/08/08 00:00:00+00,,Unknown/Unidentified,,,13.741621,,Suppression (Wildfire),301023,,,1109.69553,97744.28693
26709,1915,CA,USF,SRF,RED CAP PRAIRIE,0,1915/08/09 00:00:00+00,,Debris,,,7.9658847,,Suppression (Wildfire),200040,,,848.2030092,57106.15288
26710,1915,CA,USF,SRF,BOISE CREEK #1,0,1915/08/11 00:00:00+00,,Debris,,,5.9745417,,Suppression (Wildfire),200041,,,734.638566,42838.15094
26711,1915,CA,USF,SRF,BOISE CREEK #4,0,1915/08/13 00:00:00+00,,Debris,,,2.9873257,,Suppression (Wildfire),200045,,,519.2977649,21404.95286
26707,1915,CA,USF,MDF,TICKNER RD#2,0,1915/08/22 00:00:00+00,,Unknown/Unidentified,,,7.6184907,,Suppression (Wildfire),48,,,1194.066631,55214.7753
26706,1915,CA,USF,MDF,HOG LAKE 3,0,1915/08/23 00:00:00+00,,Unknown/Unidentified,,,21.820831,,Suppression (Wildfire),51,,,1482.764568,157797.1372
26718,1915,CA,USF,SRF, ,0,1915/08/25 00:00:00+00,,Unknown/Unidentified,,,456.06714,,Suppression (Wildfire),301029,,,6390.036741,3241081.99
26726,1915,CA,USF,SRF, ,0,1915/08/28 00:00:00+00,,Unknown/Unidentified,,,16.729492,,Suppression (Wildfire),400807,,,1211.609855,116522.2321
26708,1915,CA,USF,MDF,MT.BIDWELL,0,1915/08/29 00:00:00+00,,Miscellaneous,,,8.4130182,,Suppression (Wildfire),60,,,943.4241082,61558.02419
26704,1915,CA,USF,MDF,CHALK HILL,0,1915/08/31 00:00:00+00,,Unknown/Unidentified,,,313.90503,,Suppression (Wildfire),59,,,6891.410614,2267764.54
26719,1915,CA,USF,SRF, ,0,1915/09/01 00:00:00+00,,Unknown/Unidentified,,,10.455441,,Suppression (Wildfire),301030,,,968.1527456,74399.66935
26720,1915,CA,USF,SRF, ,0,1915/09/05 00:00:00+00,,Unknown/Unidentified,,,81.652176,,Suppression (Wildfire),301031,,,2705.553947,581027.2198
23817,1915,CA,USF,SRF,N/A,0,1915/09/07 00:00:00+00,,Debris,,,1643.0071,,Suppression (Wildfire),28,,,12785.7737,12042514.14
23818,1915,CA,USF,SRF,LITTLE RED CAP,0,1915/09/10 00:00:00+00,,Debris,,,88.099129,,Suppression (Wildfire),200064,,,3109.079813,631954.2176
26712,1915,CA,USF,SRF,WILSON CREEK #1,0,1915/09/18 00:00:00+00,,Debris,,,2.9872637,,Suppression (Wildfire),200067,,,520.1121475,21472.07689
26713,1915,CA,USF,SRF,WILSON CREEK #3,0,1915/09/18 00:00:00+00,,Debris,,,4.9788694,,Suppression (Wildfire),200069,,,671.4538621,35786.32847
26714,1915,CA,USF,SRF,WILSON CREEK #4,0,1915/09/18 00:00:00+00,,Debris,,,9.9578075,,Suppression (Wildfire),200070,,,949.6953708,71589.92949
26715,1915,CA,USF,SRF,WILDER GULCH,0,1915/09/20 00:00:00+00,,Debris,,,39.8307,,Suppression (Wildfire),200072,,,1898.555679,286107.9985
26721,1915,CA,USF,SRF, ,0,1915/09/20 00:00:00+00,,Unknown/Unidentified,,,23.898304,,Suppression (Wildfire),301032,,,1459.797589,169148.6569
26722,1915,CA,USF,SRF, ,0,1915/09/20 00:00:00+00,,Unknown/Unidentified,,,35.847618,,Suppression (Wildfire),301033,,,1791.938303,254876.213
26723,1915,CA,USF,SRF, ,0,1915/09/20 00:00:00+00,,Unknown/Unidentified,,,17.923883,,Suppression (Wildfire),301034,,,1267.077202,127435.1975
23819,1915,CA,USF,SRF, ,0,1915/10/03 00:00:00+00,,Debris,,,78.514893,,Suppression (Wildfire),400727,,,3287.72637,551611.1349
26724,1915,CA,USF,SRF, ,0,1915/10/03 00:00:00+00,,Unknown/Unidentified,,,109.53528,,Suppression (Wildfire),400776,,,3101.01737,763293.9748
26725,1915,CA,USF,SRF, ,0,1915/10/04 00:00:00+00,,Unknown/Unidentified,,,11.252415,,Suppression (Wildfire),400788,,,992.7031834,78220.7434
23816,1915,CA,USF,SRF, ,0,1915/10/08 00:00:00+00,,Unknown/Unidentified,,,8.9620161,,Suppression (Wildfire),400831,,,888.9767925,62728.24609
23814,1915,CA,USF,SRF, ,0,1915/10/20 00:00:00+00,,Unknown/Unidentified,,,22.903038,,Suppression (Wildfire),400816,,,1419.035304,159834.1883
23815,1915,CA,USF,SRF, ,0,1915/10/20 00:00:00+00,,Unknown/Unidentified,,,2.9873567,,Suppression (Wildfire),400819,,,512.4957526,20847.96267
22547,1916,CA,USF,SRF,N/A,0,1916/04/12 00:00:00+00,,Debris,,,19.913525,,Suppression (Wildfire),42,,,1350.529741,144774.3763
35253,1916,CA,USF,ANF,LIME KILN CANYON,0,1916/04/17 00:00:00+00,,Unknown/Unidentified,"S.Imsand,Tujunga,3N14W-19,N side Limekiln Cyn- AFA 1911-1924Angeles map 1:95040",80,89.250168,,Suppression (Wildfire),0,,,2844.987996,530894.0351
22548,1916,CA,USF,SRF,N/A,0,1916/06/10 00:00:00+00,,Debris,,,9.9566383,,Suppression (Wildfire),44,,,958.1500653,72870.28363
22561,1916,CA,USF,SRF, ,0,1916/06/12 00:00:00+00,,Unknown/Unidentified,,,5.9747152,,Suppression (Wildfire),400759,,,722.8319128,41472.26394
22549,1916,CA,USF,SRF,N/A,0,1916/06/23 00:00:00+00,,Debris,,,4.7294207,,Suppression (Wildfire),46,,,659.8004184,34554.81538
35254,1916,CA,USF,ANF,1916-SUPERVISOR#35,0,1916/06/24 00:00:00+00,,Unknown/Unidentified,"S.Imsand,Tujunga,2N15W-1,W of Lopez Cyn Rd S end- AFA 1911-1924Angeles map 1:95*",100,127.00327,,Suppression (Wildfire),0,,,3535.808419,754816.2315
35997,1916,CA,USF,ANF,CHILAO,0,1916/06/26 00:00:00+00,,Unknown/Unidentified,"S.Imsand,Arroyo-West Fork,3N 11W-23,Chilao Creek- AFA 1911-1924Angeles map 1:95*",115,139.36348,,Suppression (Wildfire),0,,,3690.00779,829019.8662
23636,1916,CA,USF,ENF,BACCHI FIRE,0,1916/07/26 00:00:00+00,,Miscellaneous,,,122.94878,,Suppression (Wildfire),0000G251,,,3520.190006,823113.2458
37633,1916,CA,USF,ANF,DUARTE,0,1916/07/31 00:00:00+00,,Unknown/Unidentified,"S.Imsand,Arroyo,1N 10W-28- AFA 1911-1924Angeles map 1:95040",80,179.4985,,Suppression (Wildfire),0,,,3834.950031,1063154.894
23635,1916,CA,USF,ENF,GOLD CHANNEL,0,1916/08/08 00:00:00+00,,Unknown/Unidentified,,,52.366104,,Suppression (Wildfire),0000G233,,,2304.274922,350761.5062
22552,1916,CA,USF,SRF,PEARCH CREEK,0,1916/08/20 00:00:00+00,,Unknown/Unidentified,,,8.9620447,,Suppression (Wildfire),200082,,,900.4968988,64364.67912
22553,1916,CA,USF,SRF,CRAWFORD CREEK,0,1916/08/20 00:00:00+00,,Debris,,,3.9831405,,Suppression (Wildfire),200083,,,600.1826967,28592.37253
22554,1916,CA,USF,SRF,BAR RANCH GULCH #2,0,1916/08/21 00:00:00+00,,Debris,,,4.9789319,,Suppression (Wildfire),200084,,,670.7381166,35709.95592
22555,1916,CA,USF,SRF,WARD GULCH,0,1916/08/21 00:00:00+00,,Debris,,,29.873333,,Suppression (Wildfire),200085,,,1644.569587,214677.8178
22556,1916,CA,USF,SRF,BAR RANCH GULCH #1,0,1916/08/21 00:00:00+00,,Debris,,,24.894234,,Suppression (Wildfire),200086,,,1499.790045,178543.4617
24285,1916,CA,USF,SRF,SIMS GULCH,0,1916/08/24 00:00:00+00,,Debris,,,206.1844,,Suppression (Wildfire),200087,,,4690.219207,1480517.884
24286,1916,CA,USF,SRF, ,0,1916/08/27 00:00:00+00,,Unknown/Unidentified,,,165.756,,Suppression (Wildfire),400725,,,3943.989186,1147712.16
23823,1916,CA,CCO,LAC,SHEEP MT. FIRE,0,1916/08/30 00:00:00+00,,Unknown/Unidentified,,,370.73108,,Suppression (Wildfire),0,,,5845.850053,2203711.875
23643,1916,CA,USF,ENF,BEAR CK,0,1916/09/10 00:00:00+00,,Miscellaneous,,,23.596783,,Suppression (Wildfire),0000G263,,,1643.272756,157727.9689
22557,1916,CA,USF,SRF,WILDER CREEK #2,0,1916/09/11 00:00:00+00,,Debris,,,4.9788027,,Suppression (Wildfire),200090,,,671.6682794,35809.02661
22558,1916,CA,USF,SRF,SIMS GULCH #1,0,1916/09/11 00:00:00+00,,Debris,,,99.576607,,Suppression (Wildfire),200092,,,3001.157841,714924.7364
22562,1916,CA,USF,SRF,SIMS GULCH #2,0,1916/09/11 00:00:00+00,,Debris,,,175.75299,,Suppression (Wildfire),200093,,,4276.575129,1262059.373
33580,1916,CA,USF,ANF,SAND CANYON,0,1916/09/12 00:00:00+00,,Unknown/Unidentified," S Imsand,Tujunga, 3N 15W-1,12, S of Sand Cyn Fork,VERSIONC-AFA 1906-1930 Cum m*",472,471.89139,,Suppression (Wildfire),0,,,7294.671704,2809386.091
35249,1916,CA,USF,ANF,TUNNEL,0,1916/09/14 00:00:00+00,,Unknown/Unidentified,"S.Imsand,Tujunga,3N15W-18+3N16W-24,San Fer'o Pass,VERSION-A-AFA 1911-1924Angele*",670,242.16888,,Suppression (Wildfire),0,,,5421.575812,1441282.584
37420,1916,CA,USF,ANF,TUNNEL,0,1916/09/14 00:00:00+00,,Unknown/Unidentified,"S.Imsand,Saugus,3N16W-13,24,San Fernando Pass,VERSION-T+S-AFA 1911-30 T+Saugus *",3200,3440.7681,,Suppression (Wildfire),0,,,20209.45584,20476506.68
23822,1916,CA,CCO,LAC,MINT CYN,0,1916/09/26 00:00:00+00,,Unknown/Unidentified,,,36.085945,,Suppression (Wildfire),0,,,2015.543607,215241.1995
22550,1916,CA,USF,SRF,N/A,0,1916/10/19 00:00:00+00,,Unknown/Unidentified,,,2.2402654,,Suppression (Wildfire),56,,,453.2011844,16302.91853
22559,1916,CA,USF,SRF,MAUDDOX GULCH,0,1916/10/20 00:00:00+00,,Unknown/Unidentified,,,5.9748611,,Suppression (Wildfire),200094,,,735.6232316,42953.05899
22551,1916,CA,USF,SRF,N/A,0,1916/10/24 00:00:00+00,,Unknown/Unidentified,,,50.281658,,Suppression (Wildfire),57,,,2148.856703,366520.5326
22560,1916,CA,USF,SRF,ORCUTT FLAT,0,1916/10/28 00:00:00+00,,Debris,,,2.9873252,,Suppression (Wildfire),200096,,,519.9079394,21455.3764
23639,1916,CA,USF,ENF,NORTH BEAR CK #2,0,1916/10/30 00:00:00+00,,Unknown/Unidentified,,,8.2961149,,Suppression (Wildfire),0000G314,,,849.3359272,55503.18134
23824,1916,CA,CCO,LAC,BUCKHORN,0,1916/11/13 00:00:00+00,,Unknown/Unidentified,,,257.60883,,Suppression (Wildfire),0,,,5009.696984,1533344.818
25970,1917,CA,USF,SRF,N/A,0,1917/01/19 00:00:00+00,,Debris,,,99.566383,,Suppression (Wildfire),58,,,3024.461686,726071.8025
24300,1917,CA,USF,LPF,THATCHER,0,1917/06/01 00:00:00+00,,Miscellaneous,,,29638.473,,Suppression (Wildfire),12,,,67130.26808,176935826.8
25966,1917,CA,USF,MDF,BADGER SP.,0,1917/06/13 00:00:00+00,,Unknown/Unidentified,,,114.26343,,Suppression (Wildfire),1,,,3761.982971,828905.7368
25971,1917,CA,USF,SRF,N/A,0,1917/06/17 00:00:00+00,,Debris,,,29.869564,,Suppression (Wildfire),62,,,1653.685684,217064.9069
26774,1917,CA,USF,ENF,DANAHER PUMP,0,1917/06/18 00:00:00+00,,Unknown/Unidentified,,,9.4266071,,Suppression (Wildfire),2,,,905.1706544,63040.51307
22633,1917,CA,USF,SRF, ,0,1917/06/29 00:00:00+00,,Unknown/Unidentified,,,22.903437,,Suppression (Wildfire),400790,,,1418.004612,159602.0498
22417,1917,CA,USF,SRF,RED CAP,0,1917/07/17 00:00:00+00,,Unknown/Unidentified,,,1810.2062,,Suppression (Wildfire),200099,,,17155.11995,12957829.66
